olt,onu_id,consumo_total,horas_activas,ratio_up_down,estado,es_revendedor
OLT VSOL COLONIAS,GPON04ONU29,131.74,109,0.20552708638360176,NORMAL,1
OLT VSOL COLONIAS,GPON03ONU16,131.38,91,0.05977252561103493,NORMAL,1
OLT VSOL COLONIAS,GPON07ONU43,131.16,91,0.5288495162606364,NORMAL,1
OLT VSOL FLOR A,GPON05ONU6,131.01999999999998,110,0.4123100140131508,NORMAL,1
OLT VSOL COLONIAS,GPON08ONU51,130.02,91,0.1189328743545611,NORMAL,1
OLT VSOL COLONIAS,GPON03ONU7,129.42,91,0.3041112454655381,NORMAL,1
OLT VSOL CARAQUITA,GPON06ONU28,128.84,84,0.114436467433613,NORMAL,1
OLT VSOL COLONIAS,GPON02ONU7,127.32,91,0.3593850096092248,NORMAL,1
OLT VSOL COLONIAS,GPON01ONU61,127.27000000000001,88,0.09263392857142856,NORMAL,1
OLT VSOL COLONIAS,GPON01ONU48,127.25999999999999,88,0.1925780151813326,NORMAL,1
OLT VSOL CARAQUITA,GPON01ONU17,127.15,90,0.1784059314179796,NORMAL,1
OLT VSOL COLONIAS,GPON03ONU63,126.0,91,0.3189573955825395,NORMAL,1
OLT VSOL COLONIAS,GPON02ONU76,126.0,91,0.11091518250749427,NORMAL,1
OLT VSOL COLONIAS,GPON07ONU118,125.81,91,0.3247341265662841,NORMAL,1
OLT VSOL COLONIAS,GPON01ONU73,125.6,88,0.04483819981698694,NORMAL,1
OLT VSOL CARAQUITA,GPON01ONU14,125.36,69,0.12470841557509421,NORMAL,1
OLT VSOL FLOR A,GPON05ONU66,125.32,109,0.2908941079522044,NORMAL,1
OLT VSOL COLONIAS,GPON02ONU21,124.68,91,0.07427192831294158,NORMAL,1
OLT VSOL COLONIAS,GPON04ONU10,124.65,104,0.43688760806916427,NORMAL,1
OLT VSOL COLONIAS,GPON03ONU46,124.49000000000001,91,0.10874599216245102,NORMAL,1
OLT VSOL COLONIAS,GPON07ONU50,124.42999999999999,91,0.07899757197363858,NORMAL,1
OLT VSOL FLOR A,GPON05ONU7,123.28,103,0.06477802729314217,NORMAL,1
OLT VSOL FLOR A,GPON04ONU90,122.89000000000001,87,0.7763804567794159,CRITICO,-1
OLT VSOL CARAQUITA,GPON06ONU18,122.89,83,0.3743010512189667,NORMAL,1
OLT VSOL FLOR A,GPON03ONU14,122.44,104,0.20227808326787117,NORMAL,1
OLT VSOL FLOR A,GPON03ONU84,122.38999999999999,113,0.5300662582822853,NORMAL,1
OLT VSOL COLONIAS,GPON04ONU40,121.91,100,0.30650519772800344,NORMAL,1
OLT VSOL CARAQUITA,GPON03ONU12,121.29,88,0.026402640264026403,NORMAL,1
OLT VSOL CARAQUITA,GPON03ONU33,120.03,86,0.19910089910089912,NORMAL,1
OLT VSOL FLOR A,GPON05ONU25,119.91,100,0.2440087145969499,NORMAL,1
OLT VSOL COLONIAS,GPON07ONU23,119.62,84,0.0866642441860465,NORMAL,1
OLT VSOL FLOR A,GPON03ONU76,119.31,108,0.21151502843216893,NORMAL,1
OLT VSOL FLOR A,GPON04ONU4,119.03,111,0.08130450581395349,NORMAL,1
OLT VSOL FLOR A,GPON06ONU54,119.00999999999999,104,0.05374535151407828,NORMAL,1
OLT VSOL COLONIAS,GPON06ONU80,118.34,91,0.6043926247288502,NORMAL,1
OLT VSOL COLONIAS,GPON04ONU21,118.29,110,0.10665169800729722,NORMAL,1
OLT VSOL FLOR A,GPON06ONU36,118.13,108,0.7125253696723688,CRITICO,-1
OLT VSOL FLOR A,GPON03ONU34,118.1,107,0.5156570841889117,NORMAL,1
OLT VSOL COLONIAS,GPON08ONU79,117.88999999999999,91,0.36969908214244224,NORMAL,1
OLT VSOL COLONIAS,GPON06ONU5,117.74000000000001,91,0.09403456606578701,NORMAL,1
OLT VSOL FLOR A,GPON03ONU15,117.65,111,0.25013282329189246,NORMAL,1
OLT VSOL FLOR A,GPON03ONU42,117.36,111,0.4004773269689738,NORMAL,1
OLT VSOL COLONIAS,GPON07ONU42,117.03,91,0.9047851562500001,CRITICO,-1
OLT VSOL COLONIAS,GPON03ONU35,116.64999999999999,91,0.1292352371732817,NORMAL,1
OLT VSOL FLOR A,GPON06ONU37,116.48,113,0.11229946524064172,NORMAL,1
OLT VSOL COLONIAS,GPON05ONU36,116.29,91,0.03802552887619388,NORMAL,1
OLT VSOL COLONIAS,GPON07ONU68,116.22,91,0.20773147667047695,NORMAL,1
OLT VSOL COLONIAS,GPON04ONU51,115.91,113,0.5629719525350594,NORMAL,1
OLT VSOL COLONIAS,GPON06ONU21,115.83999999999999,81,0.0830216903515333,NORMAL,1
OLT VSOL FLOR A,GPON03ONU19,115.64,110,0.07083989258264654,NORMAL,1
OLT VSOL COLONIAS,GPON03ONU114,115.36999999999999,91,0.05235793122320533,NORMAL,1
OLT VSOL COLONIAS,GPON07ONU18,115.27,91,0.2510310397221619,NORMAL,1
OLT VSOL COLONIAS,GPON03ONU59,115.22999999999999,91,0.33183079056865467,NORMAL,1
OLT VSOL COLONIAS,GPON01ONU31,115.09,88,0.6083007266629402,NORMAL,1
OLT VSOL COLONIAS,GPON02ONU85,114.7,91,0.29064926296838073,NORMAL,1
OLT VSOL COLONIAS,GPON07ONU30,114.0,91,0.06373052160119437,NORMAL,1
OLT VSOL COLONIAS,GPON05ONU48,113.52,108,0.06024096385542169,NORMAL,1
OLT VSOL FLOR A,GPON03ONU43,113.23,108,0.27568724650743576,NORMAL,1
OLT VSOL CARAQUITA,GPON06ONU2,113.06,88,0.07532813391668251,NORMAL,1
OLT VSOL CARAQUITA,GPON03ONU29,112.75,87,0.1095256839204881,NORMAL,1
OLT VSOL CARAQUITA,GPON03ONU9,112.71,37,0.24362793776895067,CRITICO,-1
OLT VSOL COLONIAS,GPON08ONU7,112.07000000000001,81,0.07264548238897396,NORMAL,1
OLT VSOL COLONIAS,GPON03ONU105,112.07,91,0.4603857180088611,NORMAL,1
OLT VSOL FLOR A,GPON05ONU81,112.02,107,0.054405120481927714,NORMAL,1
OLT VSOL FLOR A,GPON03ONU55,112.02,109,0.22586999343401185,NORMAL,1
OLT VSOL FLOR A,GPON06ONU25,112.0,103,0.2512568428108591,NORMAL,1
OLT VSOL COLONIAS,GPON05ONU71,111.72999999999999,111,0.10122215651488271,NORMAL,1
OLT VSOL COLONIAS,GPON08ONU77,111.57,91,0.10345168628226685,NORMAL,1
OLT VSOL CARAQUITA,GPON01ONU4,111.41,77,0.305025184491039,NORMAL,1
OLT VSOL CARAQUITA,GPON03ONU26,111.31,89,0.3587646484375,NORMAL,1
